tailNumber;model;lastCheck;nextCheck;flightHours;status
KL2728;Airbus A330;2025-04-14;2026-07-08;2663;OK
BA6368;Airbus A350;2024-09-16;2025-07-14;1819;OK
CX3529;Boeing 737;2024-07-31;2025-09-14;431;OK
DL3432;Boeing 747;2025-05-14;2026-03-23;1294;OK
AZ7443;Airbus A350;2024-07-29;2026-03-21;4281;OK
NH4045;Boeing 737;2025-05-23;2026-05-17;1030;OK
AC9441;Boeing 777;2025-02-07;2026-05-12;4691;OK
WN7675;Boeing 777;2025-06-14;2025-06-30;4011;OK
SQ4171;Airbus A320;2024-10-27;2026-04-29;1124;OK
SA3713;Boeing 747;2024-11-09;2026-01-09;1508;OK
UA9835;Boeing 747;2025-02-20;2026-06-24;2245;OK
SA2814;Boeing 747;2024-11-06;2025-10-06;4490;OK
LH4956;Airbus A350;2025-02-10;2025-09-29;4558;OK
TG4099;Boeing 747;2024-11-06;2025-11-26;2828;OK
TG6294;Boeing 777;2025-01-01;2025-06-22;1363;OK
UA8275;Boeing 777;2025-06-08;2026-03-09;288;OK
LH7681;Boeing 737;2024-08-01;2025-11-13;2477;OK
WN7063;Airbus A330;2024-08-11;2025-09-23;2479;OK
AZ7290;Boeing 737;2025-04-03;2025-12-02;1466;OK
AI6000;Boeing 747;2025-03-16;2025-10-16;4717;OK
SA2289;Airbus A330;2024-08-25;2026-07-08;759;OK
AM2800;Boeing 777;2025-05-15;2025-07-15;1238;OK
SQ1109;Airbus A320;2025-05-11;2025-07-25;4803;OK
LA5197;Airbus A350;2024-10-06;2026-05-12;1659;OK
KL2393;Boeing 747;2025-02-23;2025-12-27;1937;OK
AC4609;Airbus A320;2024-12-10;2025-09-09;4948;OK
KE7715;Boeing 747;2024-08-30;2025-08-26;454;OK
AF8542;Boeing 747;2024-12-04;2025-07-11;3766;OK
QF1128;Boeing 747;2025-01-18;2026-01-07;4222;OK
NZ6084;Boeing 737;2025-01-24;2026-03-22;3274;OK
AV4290;Boeing 777;2024-09-01;2026-01-09;2942;OK
AM8303;Boeing 747;2024-06-28;2025-11-11;3404;OK
EK8895;Boeing 777;2024-07-15;2025-12-01;1271;OK
QF5171;Boeing 747;2024-10-01;2025-10-30;1886;OK
LH8665;Airbus A330;2024-09-20;2025-07-03;3736;OK
ET4912;Airbus A320;2025-02-17;2026-06-21;1474;OK
WN5291;Airbus A330;2024-11-14;2026-05-17;1971;OK
EK7295;Airbus A350;2024-12-14;2025-10-11;3747;OK
KL6524;Boeing 777;2024-08-30;2025-07-02;2068;OK
AZ7376;Boeing 777;2024-07-17;2026-06-09;4620;OK
AF8543;Airbus A350;2025-01-07;2026-01-20;552;OK
AI5161;Airbus A350;2024-09-16;2025-07-21;2616;OK
AC5567;Boeing 747;2025-05-20;2025-06-21;1791;OK
AZ2434;Airbus A350;2025-05-26;2025-10-27;1910;OK
DL4260;Airbus A320;2025-05-31;2025-10-01;3820;OK
AA6725;Boeing 747;2025-03-30;2025-12-19;4645;OK
KL2016;Airbus A330;2024-08-21;2026-04-02;913;OK
UA8235;Boeing 747;2025-05-14;2025-07-02;3082;OK
AC4205;Airbus A350;2024-07-08;2026-03-19;2755;OK
QF1885;Airbus A320;2025-01-05;2026-05-22;2568;OK
AF3357;Airbus A320;2024-12-31;2026-04-05;553;OK
WN9145;Airbus A330;2025-03-12;2025-09-25;2409;OK
LH6339;Airbus A350;2025-01-05;2025-08-01;1684;OK
AI5829;Airbus A320;2025-06-12;2026-03-18;4066;OK
QR4220;Airbus A320;2025-02-13;2025-10-09;4998;OK
AZ2628;Airbus A330;2025-01-22;2026-04-12;3120;OK
CX9414;Boeing 777;2025-06-14;2025-06-20;1583;OK
ET9925;Airbus A320;2024-07-13;2026-05-14;2845;OK
AM3096;Airbus A350;2024-10-05;2026-07-02;1155;OK
IB3865;Boeing 777;2024-08-21;2026-03-30;1448;OK
TG9997;Boeing 737;2024-07-07;2025-08-24;3425;OK
SA4550;Boeing 737;2025-05-26;2026-07-12;4635;OK
KL5073;Boeing 777;2025-05-24;2025-06-21;2267;OK
SA3071;Boeing 737;2025-06-19;2025-11-05;2412;OK
ET9590;Boeing 737;2024-11-25;2025-08-04;3853;OK
TG4235;Boeing 737;2024-09-18;2026-07-19;1116;OK
AI4858;Airbus A350;2025-04-25;2026-06-25;2114;OK
BA6099;Boeing 747;2024-07-22;2025-10-26;3830;OK
WN3568;Airbus A350;2024-12-27;2025-09-14;2909;OK
AV9936;Boeing 737;2025-03-24;2025-06-15;1448;OK
BA5814;Boeing 747;2024-07-31;2026-01-11;4501;OK
AC2322;Airbus A350;2025-04-12;2025-10-06;248;OK
QR2850;Airbus A330;2025-02-05;2025-07-09;2234;OK
NZ5365;Boeing 737;2024-08-17;2026-03-11;1894;OK
BA1547;Boeing 777;2024-10-19;2025-06-27;1422;OK
LA5370;Boeing 747;2025-04-11;2026-06-26;4472;OK
AM8076;Boeing 777;2024-10-24;2025-12-30;1109;OK
TG3919;Airbus A320;2025-02-03;2026-02-22;3746;OK
UA7542;Boeing 777;2025-05-03;2026-03-20;4107;OK
AF3527;Boeing 747;2025-03-16;2025-12-13;1442;OK
QF1886;Airbus A330;2025-05-03;2026-06-03;4151;OK
KL8738;Airbus A350;2025-04-11;2026-04-20;3492;OK
NZ3854;Airbus A320;2025-05-31;2025-08-12;801;OK
UA9951;Airbus A320;2024-07-31;2026-03-28;4470;OK
SQ4035;Airbus A330;2025-06-09;2025-09-10;1194;OK
CX5974;Boeing 777;2024-07-08;2026-06-28;4455;OK
NZ9286;Boeing 737;2024-11-13;2025-10-20;3019;OK
QR4953;Boeing 777;2024-09-25;2025-11-09;1517;OK
QR9037;Boeing 737;2025-01-10;2025-08-23;4843;OK
UA9753;Airbus A330;2025-05-19;2026-06-04;1710;OK
AC2870;Boeing 747;2024-11-29;2025-08-21;2780;OK
WN9435;Airbus A350;2025-04-24;2026-06-18;2221;OK
QF3103;Airbus A350;2025-03-30;2025-12-26;2407;OK
IB3862;Airbus A320;2024-09-20;2025-07-22;3422;OK
NH2788;Boeing 747;2025-01-09;2026-04-27;1206;OK
SQ9022;Airbus A330;2024-10-05;2026-01-19;2487;OK
UA4384;Airbus A330;2025-01-17;2025-06-23;2466;OK
SA9163;Airbus A330;2024-08-08;2025-10-17;4125;OK
BA6415;Airbus A330;2024-10-19;2025-06-30;2764;OK
NZ7026;Boeing 737;2025-05-09;2025-12-14;4986;OK
UA8268;Airbus A350;2024-12-14;2026-05-18;4356;OK
QF5719;Airbus A350;2025-05-06;2026-07-18;349;OK
SK9059;Boeing 777;2025-03-25;2025-10-05;1228;OK
LA9192;Boeing 777;2025-03-18;2025-06-04;4898;OK
AF2649;Boeing 747;2025-04-19;2025-09-23;2767;OK
SA6283;Airbus A320;2024-11-18;2026-06-04;3571;OK
LA7380;Airbus A320;2025-02-13;2026-02-06;1110;OK
AC7293;Airbus A330;2025-02-12;2025-08-01;3857;OK
UA1658;Airbus A330;2025-03-22;2025-09-11;625;OK
IB5239;Airbus A350;2024-10-16;2026-02-12;4921;OK
UA9754;Airbus A320;2024-12-06;2026-05-19;977;OK
LH5850;Airbus A320;2024-11-10;2025-12-26;2665;OK
KL3196;Boeing 777;2025-04-06;2026-02-09;2732;OK
LH1304;Boeing 737;2024-09-11;2026-03-20;4083;OK
TG5265;Boeing 737;2025-04-26;2026-05-24;2886;OK
KE3955;Airbus A350;2024-12-26;2025-09-09;931;OK
DL6866;Airbus A320;2025-04-30;2026-05-19;3611;OK
QR9373;Airbus A330;2024-09-07;2025-07-12;3770;OK
TG6514;Boeing 737;2024-08-12;2026-01-17;3416;OK
EK6720;Boeing 747;2024-08-21;2026-04-26;4284;OK
EK9440;Airbus A330;2025-01-16;2026-01-07;140;OK
WN9522;Boeing 777;2024-12-30;2026-06-22;2629;OK
SK9763;Airbus A350;2024-07-30;2025-10-10;2750;OK
AF1136;Airbus A350;2024-11-21;2026-01-05;2700;OK
KL5155;Airbus A320;2025-04-26;2025-08-21;2827;OK
SQ5486;Airbus A330;2024-09-16;2025-12-28;4828;OK
SA5365;Boeing 737;2025-06-02;2026-07-07;1304;OK
